title	rating
Star Wars (1977)	4.3584905660377355
Contact (1997)	3.8035363457760316
Fargo (1996)	4.155511811023622
Return of the Jedi (1983)	4.007889546351085
Liar Liar (1997)	3.156701030927835
English Patient, The (1996)	3.656964656964657
Scream (1996)	3.4414225941422596
Toy Story (1995)	3.8783185840707963
Air Force One (1997)	3.6310904872389793
Independence Day (ID4) (1996)	3.438228438228438
Raiders of the Lost Ark (1981)	4.252380952380952
Godfather, The (1972)	4.283292978208232
Pulp Fiction (1994)	4.060913705583756
Twelve Monkeys (1995)	3.798469387755102
Silence of the Lambs, The (1991)	4.28974358974359
Jerry Maguire (1996)	3.7109375
Chasing Amy (1997)	3.8390501319261214
Rock, The (1996)	3.693121693121693
Empire Strikes Back, The (1980)	4.204359673024523
Star Trek: First Contact (1996)	3.66027397260274
Titanic (1997)	4.2457142857142856
Back to the Future (1985)	3.834285714285714
Mission: Impossible (1996)	3.313953488372093
Fugitive, The (1993)	4.044642857142857
Indiana Jones and the Last Crusade (1989)	3.930513595166163
Willy Wonka and the Chocolate Factory (1971)	3.6319018404907975
Princess Bride, The (1987)	4.172839506172839
Forrest Gump (1994)	3.853582554517134
Saint, The (1997)	3.1234177215189876
Monty Python and the Holy Grail (1974)	4.0664556962025316
Full Monty, The (1997)	3.926984126984127
Men in Black (1997)	3.745874587458746
Terminator, The (1984)	3.9335548172757475
E.T. the Extra-Terrestrial (1982)	3.8333333333333335
Dead Man Walking (1995)	3.8963210702341136
Leaving Las Vegas (1995)	3.697986577181208
Schindler's List (1993)	4.466442953020135
Braveheart (1995)	4.151515151515151
L.A. Confidential (1997)	4.161616161616162
Conspiracy Theory (1997)	3.4237288135593222
Terminator 2: Judgment Day (1991)	4.0067796610169495
Birdcage, The (1996)	3.4436860068259385
Twister (1996)	3.2150170648464163
Mr. Holland's Opus (1995)	3.7781569965870307
Alien (1979)	4.034364261168385
When Harry Met Sally... (1989)	3.910344827586207
Aliens (1986)	3.9471830985915495
Shawshank Redemption, The (1994)	4.445229681978798
Jaws (1975)	3.775
Groundhog Day (1993)	3.7642857142857142
Apollo 13 (1995)	3.931159420289855
Amadeus (1984)	4.163043478260869
Blade Runner (1982)	4.138181818181818
Truth About Cats & Dogs, The (1996)	3.485294117647059
Sense and Sensibility (1995)	4.0111940298507465
Ransom (1996)	3.644194756554307
Usual Suspects, The (1995)	4.385767790262173
One Flew Over the Cuckoo's Nest (1975)	4.291666666666667
Jurassic Park (1993)	3.7203065134099615
Evita (1996)	2.9806949806949805
2001: A Space Odyssey (1968)	3.969111969111969
Raising Arizona (1987)	3.875
Dances with Wolves (1990)	3.79296875
Broken Arrow (1996)	3.031496062992126
Dead Poets Society (1989)	3.9163346613545817
Blues Brothers, The (1980)	3.8366533864541834
Four Weddings and a Funeral (1994)	3.6613545816733066
Game, The (1997)	3.593625498007968
Trainspotting (1996)	3.884
Fish Called Wanda, A (1988)	3.785425101214575
Wizard of Oz, The (1939)	4.0772357723577235
Star Trek: The Wrath of Khan (1982)	3.8155737704918034
Phenomenon (1996)	3.557377049180328
Casablanca (1942)	4.45679012345679
Die Hard (1988)	3.8724279835390947
Sting, The (1973)	4.058091286307054
Devil's Own, The (1997)	3.1083333333333334
Dante's Peak (1997)	2.933333333333333
Graduate, The (1967)	4.104602510460251
Psycho (1960)	4.100418410041841
Seven (Se7en) (1995)	3.847457627118644
Time to Kill, A (1996)	3.685344827586207
It's a Wonderful Life (1946)	4.121212121212121
In & Out (1997)	3.3043478260869565
Speed (1994)	3.6478260869565218
Hunt for Red October, The (1990)	3.8634361233480177
Stand by Me (1986)	3.881057268722467
GoodFellas (1990)	3.9513274336283186
Heat (1995)	3.569506726457399
Sound of Music, The (1965)	3.765765765765766
Clockwork Orange, A (1971)	3.909502262443439
Courage Under Fire (1996)	3.6108597285067874
Apocalypse Now (1979)	4.04524886877828
Top Gun (1986)	3.481818181818182
Lion King, The (1994)	3.7818181818181817
Aladdin (1992)	3.8127853881278537
Babe (1995)	3.9954337899543377
Volcano (1997)	2.808219178082192
To Kill a Mockingbird (1962)	4.292237442922374
Murder at 1600 (1997)	3.0871559633027523
Mars Attacks! (1996)	2.847926267281106
Butch Cassidy and the Sundance Kid (1969)	3.949074074074074
People vs. Larry Flynt, The (1996)	3.5953488372093023
Sleepless in Seattle (1993)	3.539906103286385
Field of Dreams (1989)	3.69811320754717
Starship Troopers (1997)	3.2322274881516586
Get Shorty (1995)	3.550239234449761
Godfather: Part II, The (1974)	4.186602870813397
Rear Window (1954)	4.3875598086124405
True Lies (1994)	3.5625
Brazil (1985)	3.8173076923076925
M*A*S*H (1970)	3.912621359223301
Eraser (1996)	3.150485436893204
Shining, The (1980)	3.825242718446602
Beauty and the Beast (1991)	3.792079207920792
Boot, Das (1981)	4.203980099502488
Batman (1989)	3.427860696517413
Young Frankenstein (1974)	3.945
Star Trek IV: The Voyage Home (1986)	3.4472361809045227
Good Will Hunting (1997)	4.262626262626263
Citizen Kane (1941)	4.292929292929293
Fifth Element, The (1997)	3.4771573604060912
